Title,Author,length
The Butcher's Masquerade,By: Matt Dinniman,Length: 23 hrs and 33 mins
Why I Stand,By: Jonathan Isaac,Length: 4 hrs and 29 mins
Don't Let Me Fall,By: Kelsie Rae,Length: 9 hrs and 4 mins
Glad You're Here,"By: Walker Hayes, Craig Allen Cooper",Length: 4 hrs and 20 mins
Riley Thorn and the Blast from the Past,By: Lucy Score,Length: 11 hrs and 2 mins
Six Graves,By: Angela Marsons,Length: 8 hrs and 33 mins
Gleam,By: Raven Kennedy,Length: 21 hrs and 1 min
Here's the Deal,By: Kellyanne Conway,Length: 19 hrs and 58 mins
Death,By: Laura Thalassa,Length: 15 hrs and 30 mins
The Hourglass Throne,By: K. D. Edwards,Length: 14 hrs and 19 mins
How to Be a Boss B*tch,"By: Christine Quinn, Rachel Holtzman",Length: 7 hrs and 43 mins
The End of the World Is Just the Beginning,By: Peter Zeihan,Length: 14 hrs and 45 mins
Of Claws and Fangs,By: Faith Hunter,Length: 14 hrs and 14 mins
In the Long Run,By: Haley Cass,Length: 16 hrs and 23 mins
City of Scars,By: JD Kirk,Length: 11 hrs and 23 mins
The Power of One More,By: Ed Mylett,Length: 7 hrs and 30 mins
Equatorial,By: Ryan DeBruyn,Length: 13 hrs and 47 mins
Midlife Witch Hunter,By: Shannon Mayer,Length: 8 hrs and 58 mins
Boyfriend Goals,By: Riley Hart,Length: 7 hrs and 38 mins
Air Awakens: The Complete Series,By: Elise Kova,Length: 60 hrs and 11 mins
Nightwork,By: Nora Roberts,Length: 16 hrs and 22 mins
If I Don't Ask,By: E.J. Noyes,Length: 11 hrs and 11 mins
Swords of Lightning,"By: Mark Nutsch, Bob Pennington, Jim DeFelice",Length: 9 hrs and 42 mins
The Mountain Is You,By: Brianna Wiest,Length: 5 hrs and 44 mins
Ivy,By: Willa Nash,Length: 15 hrs and 47 mins
Dissonance,By: Nicoli Gonnella,Length: 26 hrs and 44 mins
Fin,By: Jude Angelini,Length: 3 hrs and 50 mins
Wonder,By: R. J. Palacio,Length: 7 hrs and 10 mins
The Ink Black Heart,By: Robert Galbraith,Length: 20 hrs
The Magic of Momentum,By: Stephen Guise,Length: 4 hrs and 51 mins
2000 Mules,By: Dinesh D'Souza,Length: 4 hrs and 16 mins
Then Came Love: Jax Braden,By: Melissa Foster,Length: 10 hrs and 7 mins
An Apology to Lucifer,"By: Sean P. Haley, Wayne E. Haley",Length: 6 hrs and 2 mins
Insight,By: Jay Boyce,Length: 13 hrs and 6 mins
Raven House,By: Deacon Frost,Length: 9 hrs and 11 mins
Mafia Darling,By: Mila Finelli,Length: 10 hrs and 23 mins
Zombie Upheaval,By: Javan Bonds,Length: 14 hrs and 33 mins
Match Game,By: Craig Alanson,Length: 22 hrs and 13 mins
Heartless Sky,"By: Caroline Peckham, Susanne Valenti",Length: 30 hrs and 10 mins
Vainqueur the Dragon III: World Tour Edition,By: Maxime J. Durand,Length: 22 hrs and 30 mins
Make Me Disappear,By: Jessica Payne,Length: 9 hrs and 28 mins
Steamforged Sorcery,By: Actus,Length: 11 hrs and 25 mins
Freezing Order,By: Bill Browder,Length: 10 hrs and 29 mins
Homecoming King,By: Penny Reid,Length: 12 hrs and 27 mins
Kharn: Eater of Worlds,By: Anthony Reynolds,Length: 6 hrs and 35 mins
Queen,By: Karen Lynch,Length: 14 hrs and 30 mins
Consorting with Spirits,"By: Jason Miller, Mat Auryn - foreword",Length: 7 hrs and 52 mins
Plandemic: Fear Is the Virus. Truth Is the Cure.,By: Mikki Willis,Length: 4 hrs and 54 mins
Death of a Salesman,By: Arthur Miller,Length: 2 hrs and 16 mins
The Housemaid,By: Freida McFadden,Length: 9 hrs and 41 mins
The Magnolia Murders,By: Aimee Nicole Walker,Length: 9 hrs and 33 mins
Influenced,By: Felice Stevens,Length: 9 hrs and 23 mins
Traced: Human DNA's Big Surprise,By: Nathaniel T. Jeanson,Length: 7 hrs and 5 mins
Mother of Learning Arc 2,"By: nobody103, Domagoj Kurmaic",Length: 25 hrs and 11 mins
Code Blue,By: N.R. Walker,Length: 13 hrs and 4 mins
"Player Reached the Top, Book 6","By: Rick Scar, Ingrid Wolf - translator",Length: 8 hrs and 51 mins
Defiance of the Fall 5,"By: TheFirstDefier, JF Brink",Length: 24 hrs and 11 mins
A New Way to Think,By: Roger L. Martin,Length: 7 hrs and 58 mins
The Lost Bones,By: Ruhi Choudhary,Length: 10 hrs and 8 mins
How to Build Confidence and Win at Life,By: Cory Gregory,Length: 5 hrs and 4 mins
Primitives,By: Erich Krauss,Length: 11 hrs and 31 mins
The Buy-In,By: Emma St. Clair,Length: 12 hrs and 51 mins
Soul Construction,By: Ruchi Koval,Length: 5 hrs and 14 mins
Only Wanna Be with You,By: Tim Sommer,Length: 9 hrs and 19 mins
Locked Up Liars,By: Elle Thorpe,Length: 8 hrs and 41 mins
Second Glances,By: Kelsey Soliz,Length: 7 hrs and 37 mins
Briarhill to Brooklyn,By: Jack Bodkin,Length: 12 hrs and 18 mins
Own Your Past Change Your Future,By: Dr. John Delony,Length: 6 hrs and 47 mins
Mystery at Lovelace Manor,By: Clare Chase,Length: 9 hrs and 9 mins
Aether's Apprentices,By: Daniel Schinhofen,Length: 14 hrs and 33 mins
The Fiat Standard,By: Saifedean Ammous,Length: 12 hrs and 44 mins
Dirty Devil,By: Heather Long,Length: 10 hrs and 40 mins
Lighthouse Way,By: Kristen Proby,Length: 6 hrs and 55 mins
Savage Rivals,By: Becca Steele,Length: 5 hrs and 53 mins
Brain over Binge,By: Kathryn Hansen,Length: 9 hrs and 59 mins
He Who Fights with Monsters 6,"By: Shirtaloon, Travis Deverell",Length: 15 hrs and 51 mins
Monster Island,By: Chris Vines,Length: 14 hrs and 47 mins
Seabreeze Shores,By: Jan Moran,Length: 7 hrs and 20 mins
Core Construction,By: Jonathan Brooks,Length: 11 hrs and 55 mins
Summoner's Shadow 1,By: DB King,Length: 13 hrs and 29 mins
A Gentle Reminder,By: Bianca Sparacino,Length: 2 hrs and 31 mins
Noble Roots,By: Drew Hayes,Length: 25 hrs
King of Alchemy,By: Simon Archer,Length: 9 hrs and 25 mins
An English Garden Murder,By: Katie Gayle,Length: 6 hrs and 53 mins
Post After Post-Mortem,By: E.C.R. Lorac,Length: 10 hrs and 16 mins
Acyrologia,"By: Dennis Vanderkerken, Dakota Krout",Length: 12 hrs and 17 mins
Encore in Death,By: J. D. Robb,Length: 11 hrs and 40 mins
Shattered Gods,By: Chris Fox,Length: 19 hrs and 51 mins
Cultivating Genius,By: Gholdy Muhammad,Length: 5 hrs and 53 mins
Do the Impossible,By: Jason Drees,Length: 5 hrs and 27 mins
Choice,By: Jodi Picoult,Length: 38 mins
Composting Masterclass,By: Tony O'Neill,Length: 8 hrs and 39 mins
Part of Your World,By: Abby Jimenez,Length: 10 hrs and 5 mins
The Lost Summers of Newport,"By: Beatriz Williams, Lauren Willig, Karen White",Length: 13 hrs and 8 mins
The Book Woman's Daughter,By: Kim Michele Richardson,Length: 10 hrs and 29 mins
Business Is Personal,By: Bethenny Frankel,Length: 6 hrs and 59 mins
Quicksilver,By: Dannika Dark,Length: 13 hrs and 5 mins
Death on a Summer's Day,By: Benedict Brown,Length: 8 hrs and 37 mins
The Menu,By: Aaron Clarey,Length: 4 hrs and 15 mins
Spirit Legacy,By: E. E. Holmes,Length: 10 hrs and 44 mins
Spirit,By: Aaron Oster,Length: 12 hrs and 50 mins
"Forever, Con Amor",By: A. M. Johnson,Length: 9 hrs and 23 mins
Claiming the Cowboy,By: Kennedy Fox,Length: 6 hrs and 46 mins
The Damning Stone,By: TJ Klune,Length: 16 hrs and 58 mins
Portrait of an Unknown Woman,By: Daniel Silva,Length: 12 hrs
Solo Leveling: Vol. 4,By: Chugong,Length: 7 hrs and 43 mins
